car,bus,truck,person,frame,total,motorcycle,traffic light
23,1,3,2,199,229,1,0
23,1,3,3,200,231,1,0
24,1,2,1,201,230,1,0
27,1,2,2,202,235,1,0
29,1,2,2,203,237,0,0
30,2,3,1,204,240,0,0
30,1,2,2,205,240,0,0
27,1,2,3,206,240,1,0
27,1,2,2,207,240,1,0
27,1,2,1,208,239,0,0
26,2,2,1,209,241,1,0
25,3,1,1,210,242,2,0
27,3,1,1,211,244,1,0
27,3,2,1,212,246,1,0
27,3,2,1,213,247,1,0
27,3,2,2,214,250,2,0
25,3,2,2,215,249,2,0
26,3,1,2,216,249,1,0
27,3,1,4,217,253,1,0
27,3,2,3,218,254,1,0
26,3,2,2,219,253,1,0
27,3,2,2,220,254,0,0
26,3,2,2,221,254,0,0
26,3,2,2,222,255,0,0
27,3,2,3,223,258,0,0
29,3,3,2,224,262,1,0
26,3,3,1,225,259,1,0
26,3,2,1,226,259,1,0
27,3,2,1,227,260,0,0
28,4,2,1,228,263,0,0
28,4,2,1,229,264,0,0
25,4,2,1,230,263,1,0
24,4,2,1,231,262,0,0
26,4,2,2,232,266,0,0
25,4,1,2,233,265,0,0
25,3,1,2,234,265,0,0
26,3,1,1,235,266,0,0
25,3,1,2,236,267,0,0
25,3,0,2,237,267,0,0
27,3,0,3,238,271,0,0
28,3,0,3,239,273,0,0
26,3,0,3,240,272,0,0
27,3,1,1,241,273,0,0
29,3,0,2,242,276,0,0
27,3,0,1,243,274,0,0
26,3,2,1,244,276,0,0
25,3,0,1,245,274,0,0
24,3,0,1,246,274,0,0
24,3,0,2,247,276,0,0
25,3,0,2,248,278,0,0
27,3,0,2,249,281,0,0
25,3,0,2,250,280,0,0
24,3,0,1,251,279,0,0
24,3,0,1,252,280,0,0
23,3,0,1,253,280,0,0
25,4,1,1,254,285,0,0
24,3,1,2,255,285,0,0
25,3,0,2,256,286,0,0
24,3,0,2,257,286,0,0
22,3,0,2,258,285,0,0
24,3,0,2,259,288,0,0
24,3,0,2,260,289,0,0
22,3,0,2,261,288,0,0
22,3,0,2,262,289,0,0
26,3,0,1,263,293,0,0
24,3,1,2,264,294,0,0
25,3,2,1,265,296,0,0
26,2,1,1,266,296,0,0
22,3,1,1,267,294,0,0
23,3,1,1,268,296,0,0
24,4,0,1,269,298,0,0
24,4,0,1,270,299,0,0
23,4,0,1,271,299,0,0
23,4,0,1,272,300,0,0
25,4,0,2,273,304,0,0
24,4,0,2,274,304,0,0
24,3,0,2,275,304,0,0
22,4,0,2,276,304,0,0
23,3,0,1,277,304,0,0
22,4,0,2,278,306,0,0
22,4,1,2,279,308,0,0
22,4,1,1,280,308,0,0
21,4,1,2,281,309,0,0
21,3,2,2,282,310,0,0
22,3,1,2,283,312,0,1
23,4,2,2,284,316,0,1
23,3,2,2,285,315,0,0
23,3,1,1,286,314,0,0
23,3,1,1,287,315,0,0
23,3,2,1,288,317,0,0
24,3,0,1,289,317,0,0
25,3,1,1,290,320,0,0
25,3,1,1,291,321,0,0
26,3,1,1,292,323,0,0
24,3,2,1,293,323,0,0
24,3,2,1,294,324,0,0
24,3,2,2,295,326,0,0
26,4,2,2,296,330,0,0
27,4,2,3,297,333,0,0
27,3,0,2,298,330,0,0
25,3,2,2,299,331,0,0
25,4,2,2,300,333,0,0
23,4,2,2,301,332,0,0
25,4,1,1,302,333,0,0
24,4,0,1,303,332,0,0
24,4,1,1,304,334,0,0
24,4,0,2,305,335,0,0
23,4,0,2,306,335,0,0
27,4,0,2,307,340,0,0
25,4,0,2,308,339,0,0
25,4,1,2,309,341,0,0
24,4,1,2,310,341,0,0
25,4,0,2,311,342,0,0
25,4,0,2,312,343,0,0
